fold,pollutant,n_train,n_val,n_test,tree_depth,n_leaves,test_mae,test_rmse,test_r2,top3_feat,train_time_s,ram_delta_mb,ram_mean_mb,cpu_pct,best_params
Fold 1 — test invernale (nov–dic),CO,429149,39343,51015,14,1900,129.9527492675433,220.97455040932223,0.6647691093618484,"lag_1h, roll_mean_6h, lag_24h",87.6,56.1,1231.3,12.4,"{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 82, 'min_samples_split': 16, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 1 — test invernale (nov–dic),NO2,1814095,177545,221701,21,14114,6.029128856037549,9.18892907004638,0.6679881328987665,"lag_1h, hour_sin, hour",358.0,195.2,1847.3,12.0,"{'max_depth': 21, 'max_features': None, 'min_samples_leaf': 92, 'min_samples_split': 22, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 1 — test invernale (nov–dic),O3,1007470,100918,117136,20,8901,7.728983082392313,11.65929959866192,0.7637602482026816,"lag_1h, hour_cos, relative_humidity_2m (%)",265.9,104.1,1523.2,12.2,"{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 84, 'min_samples_split': 32, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 1 — test invernale (nov–dic),PM10,349677,37817,45427,10,702,7.220026880056493,11.49977908281804,0.623916267252167,"lag_1h, roll_mean_6h, lag_2h",41.1,36.9,975.8,12.3,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 77, 'min_samples_split': 33, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 1 — test invernale (nov–dic),PM2.5,203195,21914,29249,14,627,6.868045773189067,12.105815928797904,0.4755112411094502,"lag_1h, lag_2h, region_enc",16.5,19.7,889.3,11.9,"{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 55, 'min_samples_split': 7, 'criterion': 'friedman_mse', 'splitter': 'random'}"
Fold 1 — test invernale (nov–dic),SO2,490608,48460,64923,10,846,0.4970390453242182,0.9861334686280075,0.8384189903800537,"lag_1h, lag_2h, roll_mean_6h",69.1,52.7,1350.0,12.3,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 35, 'min_samples_split': 42, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),CO,125045,54912,119344,19,960,54.17278081957959,103.97183620808407,0.8826178731302716,"lag_1h, roll_mean_6h, lag_2h",14.1,19.5,2307.9,11.9,"{'max_depth': 24, 'max_features': 0.5, 'min_samples_leaf': 100, 'min_samples_split': 22, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),NO2,528638,234854,498290,12,1777,3.4789800991972317,5.998036768445879,0.706378022679178,"lag_1h, hour_sin, hour",94.1,55.4,1626.5,12.3,"{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 99, 'min_samples_split': 47, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),O3,284286,132614,280137,12,1483,8.025807734957455,11.978641504811298,0.8529877373543997,"lag_1h, hour_cos, relative_humidity_2m (%)",29.5,30.3,1470.6,12.2,"{'max_depth': 12, 'max_features': None, 'min_samples_leaf': 72, 'min_samples_split': 47, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),PM10,97539,45828,103694,10,499,4.004490979694396,7.13655037099727,0.6795809700528849,"lag_1h, lag_2h, roll_mean_6h",13.5,9.8,1201.2,12.0,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 54, 'min_samples_split': 21, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),PM2.5,54702,23653,69097,7,108,2.8831197753165054,6.085755284698316,0.63509679814377,"lag_1h, lag_2h, roll_mean_6h",4.0,5.8,1189.9,10.9,"{'max_depth': 7, 'max_features': 0.5, 'min_samples_leaf': 80, 'min_samples_split': 39, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 2 — test estivo (giu–lug),SO2,141870,62408,138169,13,919,0.47248338485482283,1.0648947351877058,0.8425341851961163,"lag_1h, lag_24h, roll_mean_6h",11.0,13.6,1493.0,11.8,"{'max_depth': 13, 'max_features': 0.5, 'min_samples_leaf': 99, 'min_samples_split': 29, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 3 — test primaverile (apr–mag),CO,37781,22881,119295,16,390,69.99269349494348,129.88348346322556,0.8331932223244004,"lag_1h, lag_2h, hour",4.0,3.4,3062.9,10.9,"{'max_depth': 18, 'max_features': 0.5, 'min_samples_leaf': 74, 'min_samples_split': 18, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 3 — test primaverile (apr–mag),NO2,170031,100492,492969,14,1361,4.032664316947163,6.594663466117654,0.6923306784285488,"lag_1h, hour, roll_mean_6h",28.1,17.0,2938.3,12.2,"{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 85, 'min_samples_split': 14, 'criterion': 'friedman_mse', 'splitter': 'best'}"
Fold 3 — test primaverile (apr–mag),O3,89081,51659,276160,10,515,8.579271160539687,12.14883035149947,0.7679098469185313,"lag_1h, hour_cos, relative_humidity_2m (%)",4.5,8.0,2793.9,10.9,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 26, 'min_samples_split': 30, 'criterion': 'friedman_mse', 'splitter': 'random'}"
Fold 3 — test primaverile (apr–mag),PM10,33866,20300,89201,6,63,4.079234011955174,6.709570462219979,0.6026946278853599,"lag_1h, lag_2h, roll_mean_6h",3.5,3.4,2608.7,10.4,"{'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 21, 'min_samples_split': 2, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 3 — test primaverile (apr–mag),PM2.5,20252,11659,46444,13,155,3.240492725963679,13.451552490880387,0.878876352621838,"lag_1h, roll_mean_6h, temperature_2m (°C)",2.5,1.9,2603.7,10.0,"{'max_depth': 26, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 17, 'criterion': 'squared_error', 'splitter': 'best'}"
Fold 3 — test primaverile (apr–mag),SO2,46033,27772,130473,15,375,0.4112563066222923,0.8986941132260097,0.8612887933489732,"lag_1h, roll_mean_6h, lag_2h",4.0,4.2,2733.4,10.6,"{'max_depth': 19, 'max_features': 0.5, 'min_samples_leaf': 92, 'min_samples_split': 49, 'criterion': 'friedman_mse', 'splitter': 'best'}"
