fold,pollutant,n_train,n_val,n_test,test_mae,test_rmse,test_r2,top3_feat,train_time_s,ram_delta_mb,ram_mean_mb,cpu_pct,best_params
Fold 1 — test invernale (nov–dic),CO,429149,39343,51015,1083.0772471021855,153500.32675758406,-161761.60106890407,"lag_1h, lag_2h, roll_mean_6h",425.6,90.6,913.2,12.5,"{'alpha': 0.0002830887040663654, 'epsilon': 0.16193328925162598, 'eta0': 5.5711412089288836e-05, 'learning_rate': 'invscaling', 'power_t': 0.34885743531614516}"
Fold 1 — test invernale (nov–dic),NO2,1814095,177545,221701,11.225626695784428,102.19719169093496,-40.06782779545775,"station_altitude, lag_1h, station_id",655.9,381.3,1148.4,13.6,"{'alpha': 0.026549742511540367, 'epsilon': 0.4935166725328021, 'eta0': 0.0007386582047375021, 'learning_rate': 'invscaling', 'power_t': 0.26220355370626913}"
Fold 1 — test invernale (nov–dic),O3,1007470,100918,117136,11.590177193360534,14.332153294810817,0.6430306382221074,"lag_1h, station_altitude, roll_mean_6h",781.1,214.6,841.6,12.8,"{'alpha': 0.000206431207167148, 'epsilon': 0.4978307143678603, 'eta0': 0.0012052110560619841, 'learning_rate': 'invscaling', 'power_t': 0.1760056573973388}"
Fold 1 — test invernale (nov–dic),PM10,349677,37817,45427,144.96746398775338,7773.419301617876,-171841.16778230557,"station_altitude, lag_1h, lag_2h",265.8,74.3,627.2,12.7,"{'alpha': 0.09232943849491893, 'epsilon': 0.010650945961367253, 'eta0': 8.949667080140201e-05, 'learning_rate': 'invscaling', 'power_t': 0.35938046755682984}"
Fold 1 — test invernale (nov–dic),PM2.5,203195,21914,29249,16.752116787186633,29.455045849199273,-2.105041854159515,"station_altitude, lag_1h, station_id",283.8,43.2,504.7,12.6,"{'alpha': 0.0013357447803455165, 'epsilon': 0.08404946325993642, 'eta0': 1.9366475386107314e-05, 'learning_rate': 'invscaling', 'power_t': 0.3800623371338802}"
Fold 1 — test invernale (nov–dic),SO2,490608,48460,64923,11617.188562185296,2176622.0946672033,-787199821157.547,"station_altitude, station_id, lag_1h",97.1,103.1,1002.9,13.7,"{'alpha': 0.006685248258002653, 'epsilon': 0.032291862446462434, 'eta0': 0.0002520751488771754, 'learning_rate': 'invscaling', 'power_t': 0.4807605129473741}"
Fold 2 — test estivo (giu–lug),CO,125045,54912,119344,13512.107306891541,2450612.519302048,-65210846.14162262,"lag_1h, lag_2h, roll_mean_6h",305.5,34.2,1946.8,12.4,"{'alpha': 0.008119616107975848, 'epsilon': 0.30233357061312294, 'eta0': 3.735393635943196e-05, 'learning_rate': 'invscaling', 'power_t': 0.37478435132928956}"
Fold 2 — test estivo (giu–lug),NO2,528638,234854,498290,5.516758108714408,72.28780619945168,-41.64817007556721,"station_altitude, lag_1h, station_id",151.7,111.0,2826.7,12.6,"{'alpha': 7.002844760000592e-05, 'epsilon': 0.10196672850684374, 'eta0': 0.00013288857116125222, 'learning_rate': 'invscaling', 'power_t': 0.16201546774517814}"
Fold 2 — test estivo (giu–lug),O3,284286,132614,280137,32.11309688946249,99.1103373232615,-9.064132251193657,"lag_1h, station_altitude, station_id",49.6,59.5,2511.6,12.5,"{'alpha': 0.05560489682237894, 'epsilon': 0.02928902790378566, 'eta0': 0.001445536370858076, 'learning_rate': 'invscaling', 'power_t': 0.20491318341506215}"
Fold 2 — test estivo (giu–lug),PM10,97539,45828,103694,73773.7592661245,5883668.607120767,-217790051333.92413,"station_altitude, lag_1h, lag_2h",96.6,19.1,2186.6,12.3,"{'alpha': 0.0003214957877898978, 'epsilon': 0.4215415896246933, 'eta0': 2.833923173019119e-05, 'learning_rate': 'invscaling', 'power_t': 0.26358780770637696}"
Fold 2 — test estivo (giu–lug),PM2.5,54702,23653,69097,7.804870222543519,11.0953599566198,-0.21291815537617875,"station_altitude, lag_1h, lag_2h",23.0,12.5,2127.4,12.2,"{'alpha': 0.023610639311016854, 'epsilon': 0.4779367724902183, 'eta0': 2.752623755666863e-05, 'learning_rate': 'adaptive', 'power_t': 0.35189184176940164}"
Fold 2 — test estivo (giu–lug),SO2,141870,62408,138169,29889.566568023343,3715044.2829790423,-1916465099245.7734,"station_altitude, lag_1h, lag_2h",62.1,31.5,1778.5,12.3,"{'alpha': 6.471955138464621e-05, 'epsilon': 0.3580342533580102, 'eta0': 5.5272143424378685e-05, 'learning_rate': 'invscaling', 'power_t': 0.29797153336942345}"
Fold 3 — test primaverile (apr–mag),CO,37781,22881,119295,907717.1063069244,20720743.487308666,-4245379376.9773602,"lag_1h, roll_mean_6h, lag_2h",37.2,13.0,2070.6,12.4,"{'alpha': 0.00023298976610441546, 'epsilon': 0.007384598038836812, 'eta0': 0.0004981498007324085, 'learning_rate': 'invscaling', 'power_t': 0.423740496186367}"
Fold 3 — test primaverile (apr–mag),NO2,170031,100492,492969,5.315483838822924,9.995051763893013,0.29324479846703855,"station_altitude, lag_1h, station_id",48.6,38.4,2726.7,12.3,"{'alpha': 0.08206467116697752, 'epsilon': 0.003935935932134672, 'eta0': 0.00022951899220682992, 'learning_rate': 'adaptive', 'power_t': 0.407662962133995}"
Fold 3 — test primaverile (apr–mag),O3,89081,51659,276160,80.97423525418424,1282.8937650847577,-2587.029180721759,"station_altitude, lag_1h, station_id",15.5,19.2,2573.5,12.1,"{'alpha': 0.03246718586403683, 'epsilon': 0.06546657133611172, 'eta0': 0.009444193312284433, 'learning_rate': 'invscaling', 'power_t': 0.15142284717172103}"
Fold 3 — test primaverile (apr–mag),PM10,33866,20300,89201,112106.63974028065,7144824.40415327,-450524196364.7337,"station_altitude, lag_1h, station_id",6.5,6.9,2404.9,11.4,"{'alpha': 7.203251930289834e-05, 'epsilon': 0.40277044447567006, 'eta0': 0.00024622964874834697, 'learning_rate': 'invscaling', 'power_t': 0.17268336855017963}"
Fold 3 — test primaverile (apr–mag),PM2.5,20252,11659,46444,6.975342030330756,21.537716588976455,0.6894843921634675,"station_altitude, lag_1h, lag_2h",20.5,4.6,2357.1,12.0,"{'alpha': 0.09524419048027562, 'epsilon': 0.45653140244992835, 'eta0': 0.0006659438891505351, 'learning_rate': 'invscaling', 'power_t': 0.4979901915145793}"
Fold 3 — test primaverile (apr–mag),SO2,46033,27772,130473,389.2893651878549,97324.95994099772,-1626807713.1864996,"station_id, station_altitude, wind_direction_10m (°)",100.1,9.7,2511.6,13.4,"{'alpha': 0.0008602966929438936, 'epsilon': 0.06308354197450482, 'eta0': 3.139256152212785e-05, 'learning_rate': 'invscaling', 'power_t': 0.4505531908063031}"
