fold,pollutant,n_train,n_val,n_test,best_iter,test_mae,test_rmse,test_r2,top3_feat,train_time_s,ram_mean_mb,cpu_pct,best_params
Fold 1 — test invernale (nov–dic),CO,429149,39343,51015,87,123.0137295244965,210.71964158455683,0.6951616861141459,"lag_1h, lag_2h, roll_mean_6h",453.6,581.5,65.1,"{'n_estimators': 431, 'learning_rate': 0.08793641207623464, 'max_depth': 8, 'subsample': 0.9401253487586924, 'colsample_bytree': 0.6021796128219522, 'min_child_weight': 8, 'reg_alpha': 0.007865137330185708, 'reg_lambda': 0.019097354910891203}"
Fold 1 — test invernale (nov–dic),NO2,1814095,177545,221701,945,5.516001444112739,8.4996372082378,0.7159305132191719,"lag_1h, lag_2h, roll_mean_6h",4301.2,627.2,74.1,"{'n_estimators': 946, 'learning_rate': 0.0689537292930217, 'max_depth': 8, 'subsample': 0.7446625099618951, 'colsample_bytree': 0.6390448691201003, 'min_child_weight': 9, 'reg_alpha': 0.6238280516044274, 'reg_lambda': 9.022899626243555}"
Fold 1 — test invernale (nov–dic),O3,1007470,100918,117136,935,6.924409862672957,10.38680328109316,0.8125126950400394,"lag_1h, lag_2h, hour_cos",1843.4,740.8,76.9,"{'n_estimators': 947, 'learning_rate': 0.03571927527026418, 'max_depth': 7, 'subsample': 0.9152072526419527, 'colsample_bytree': 0.9506783252671632, 'min_child_weight': 18, 'reg_alpha': 0.05622341358827845, 'reg_lambda': 5.9479573791163824}"
Fold 1 — test invernale (nov–dic),PM10,349677,37817,45427,103,7.179325472144954,11.23073164633219,0.6413080301589387,"lag_1h, roll_mean_6h, lag_2h",208.9,612.9,83.8,"{'n_estimators': 622, 'learning_rate': 0.09185195213394572, 'max_depth': 6, 'subsample': 0.6016160637217653, 'colsample_bytree': 0.6831678882324304, 'min_child_weight': 15, 'reg_alpha': 2.004545438044366, 'reg_lambda': 0.5722567477368123}"
Fold 1 — test invernale (nov–dic),PM2.5,203195,21914,29249,270,6.820463970218864,11.373490574749418,0.5370483924114402,"lag_1h, roll_mean_6h, lag_2h",116.2,521.0,81.4,"{'n_estimators': 310, 'learning_rate': 0.013447544106576679, 'max_depth': 7, 'subsample': 0.7640997271742062, 'colsample_bytree': 0.8900375986129495, 'min_child_weight': 20, 'reg_alpha': 0.05309854124785354, 'reg_lambda': 0.004465381343591806}"
Fold 1 — test invernale (nov–dic),SO2,490608,48460,64923,491,0.49257046730532444,0.9755400405431359,0.8418718758241902,"lag_1h, roll_mean_6h, lag_2h",588.0,495.9,77.2,"{'n_estimators': 492, 'learning_rate': 0.03589487119277387, 'max_depth': 8, 'subsample': 0.7788929663964639, 'colsample_bytree': 0.6960821511026376, 'min_child_weight': 13, 'reg_alpha': 0.6179641373014179, 'reg_lambda': 0.18814981580409215}"
Fold 2 — test estivo (giu–lug),CO,125045,54912,119344,433,52.056417647427814,102.866324840703,0.8851008028500502,"lag_1h, lag_2h, roll_mean_6h",91.3,932.5,88.7,"{'n_estimators': 784, 'learning_rate': 0.026389888635297908, 'max_depth': 3, 'subsample': 0.8057053453223642, 'colsample_bytree': 0.9895934477908048, 'min_child_weight': 3, 'reg_alpha': 3.7725196577028206, 'reg_lambda': 0.04133328894142199}"
Fold 2 — test estivo (giu–lug),NO2,528638,234854,498290,996,3.2331895031399736,5.550922645328645,0.7485216152775385,"lag_1h, roll_mean_6h, lag_2h",1224.2,789.6,67.0,"{'n_estimators': 998, 'learning_rate': 0.04947584668230807, 'max_depth': 8, 'subsample': 0.9515160891737485, 'colsample_bytree': 0.7751827652270672, 'min_child_weight': 6, 'reg_alpha': 5.33156345597176, 'reg_lambda': 0.049460377528347865}"
Fold 2 — test estivo (giu–lug),O3,284286,132614,280137,764,7.990634589832451,11.249955658020959,0.8703298396366016,"lag_1h, lag_2h, hour_cos",601.1,785.7,78.5,"{'n_estimators': 837, 'learning_rate': 0.04230266401001683, 'max_depth': 8, 'subsample': 0.6371049732928735, 'colsample_bytree': 0.66334597878925, 'min_child_weight': 3, 'reg_alpha': 3.4757718011288317, 'reg_lambda': 0.0023588796618221816}"
Fold 2 — test estivo (giu–lug),PM10,97539,45828,103694,136,3.8496199008806227,6.814947835168387,0.7078090892370851,"lag_1h, roll_mean_6h, lag_2h",79.6,483.2,73.3,"{'n_estimators': 495, 'learning_rate': 0.03782814350501065, 'max_depth': 7, 'subsample': 0.8986401650363268, 'colsample_bytree': 0.663964168644585, 'min_child_weight': 6, 'reg_alpha': 0.20347396132197276, 'reg_lambda': 0.028465127696759327}"
Fold 2 — test estivo (giu–lug),PM2.5,54702,23653,69097,215,2.827583952873716,6.043259957709923,0.6401750638631707,"lag_1h, roll_mean_6h, lag_2h",56.1,464.7,80.2,"{'n_estimators': 985, 'learning_rate': 0.023306016819805198, 'max_depth': 7, 'subsample': 0.776936515150744, 'colsample_bytree': 0.8231290949122151, 'min_child_weight': 14, 'reg_alpha': 0.7951285820947627, 'reg_lambda': 0.5983577001666405}"
Fold 2 — test estivo (giu–lug),SO2,141870,62408,138169,615,0.46787280713442814,1.0664126590535465,0.8420849549325732,"lag_1h, roll_mean_6h, lag_2h",135.7,731.0,82.0,"{'n_estimators': 878, 'learning_rate': 0.015123333942814916, 'max_depth': 7, 'subsample': 0.8845236684587207, 'colsample_bytree': 0.9955383685992465, 'min_child_weight': 9, 'reg_alpha': 1.4476938423889534, 'reg_lambda': 0.18905657896905745}"
Fold 3 — test primaverile (apr–mag),CO,37781,22881,119295,162,68.90389771094924,145.66756098814477,0.7901874150826884,"lag_1h, lag_2h, roll_mean_6h",33.7,1279.3,74.8,"{'n_estimators': 282, 'learning_rate': 0.036706451543921145, 'max_depth': 4, 'subsample': 0.7079109454126232, 'colsample_bytree': 0.7688315791576108, 'min_child_weight': 17, 'reg_alpha': 8.657569616001007, 'reg_lambda': 0.647588881440167}"
Fold 3 — test primaverile (apr–mag),NO2,170031,100492,492969,597,3.8065955178835837,6.341720152256945,0.7154798262385774,"lag_1h, roll_mean_6h, lag_2h",334.7,1589.5,75.1,"{'n_estimators': 611, 'learning_rate': 0.061999785696189455, 'max_depth': 7, 'subsample': 0.9196230548518685, 'colsample_bytree': 0.7006927430863639, 'min_child_weight': 3, 'reg_alpha': 2.1851486114159173, 'reg_lambda': 0.1417338173299817}"
Fold 3 — test primaverile (apr–mag),O3,89081,51659,276160,355,9.230239226108706,12.157048485214396,0.7675957437540302,"lag_1h, roll_mean_6h, lag_2h",165.8,989.8,66.2,"{'n_estimators': 492, 'learning_rate': 0.025634751606125602, 'max_depth': 8, 'subsample': 0.9053209011736153, 'colsample_bytree': 0.6313096380169662, 'min_child_weight': 20, 'reg_alpha': 1.9148570871275348, 'reg_lambda': 5.609500818717453}"
Fold 3 — test primaverile (apr–mag),PM10,33866,20300,89201,323,3.7723246454102752,6.461273271863294,0.6315562278911385,"lag_1h, roll_mean_6h, lag_2h",53.1,711.9,55.4,"{'n_estimators': 559, 'learning_rate': 0.03229815422343774, 'max_depth': 3, 'subsample': 0.8445504207246124, 'colsample_bytree': 0.782952938570489, 'min_child_weight': 7, 'reg_alpha': 8.4407288436507, 'reg_lambda': 0.44181531203184915}"
Fold 3 — test primaverile (apr–mag),PM2.5,20252,11659,46444,183,3.360349640263883,15.609376594818054,0.836899521162492,"lag_1h, roll_mean_6h, lag_2h",41.1,731.6,58.1,"{'n_estimators': 508, 'learning_rate': 0.03660845198658883, 'max_depth': 4, 'subsample': 0.6470649205215164, 'colsample_bytree': 0.8713083957903716, 'min_child_weight': 20, 'reg_alpha': 1.7517243761461163, 'reg_lambda': 0.48308669313491664}"
Fold 3 — test primaverile (apr–mag),SO2,46033,27772,130473,583,0.3825772927693576,0.8697598118120407,0.8700768835607703,"lag_1h, roll_mean_6h, lag_2h",74.6,913.6,58.4,"{'n_estimators': 775, 'learning_rate': 0.010111352029244815, 'max_depth': 4, 'subsample': 0.6146717270467073, 'colsample_bytree': 0.8998908522701435, 'min_child_weight': 15, 'reg_alpha': 0.34229803414003074, 'reg_lambda': 3.898781273559013}"
